"101, Sandwich Bun,30, 0.12"
"102, Beef Patty, 20, 0.45"
"103, Chicken Patty, 15, 0.62"
"104, Cheese Slice, 15, 0.15"
"105, Lettuce, 30, 0.08"
"106, Tomato, 30, 0.10"
"107, onion, 30, 0.09"
"201, Regular Cola, 700, 0.02"
"202, Diet Cola, 700, 0.02"
"203, Regular Lemon-Lime Soda, 500, 0.02"
"204, Diet Lemon-Lime Soda, 300, 0.02"
"205, Regular Rootbeer, 500, 0.02"
"206, Coffee, 200, 0.01"
"207, Chocolate Shake, 300, 0.10"
"208, Vanilla Shake, 300, 0.10"
"209, Strawberry Shake, 300, 0.10"
"301, Onion Rings, 50, 0.30"
"302, French Fries, 50, 0.20"
"303, Ice Cream, 20, 0.20"
